Date,Open,High,Low,Close,Volume
2025-03-28,383.5771084434194,384.6149434292676,372.55648752516225,374.40478515625,21632000
2025-03-31,368.2174556076631,372.6948931611048,362.97893300010196,371.0343933105469,35184700
2025-04-01,370.3030004386035,378.4078694453165,368.89949332324585,377.7555236816406,19689500
2025-04-02,373.5844861787052,380.61197570359644,372.25014394283687,377.70611572265625,16092600
2025-04-03,370.4413221297822,373.10011248760316,365.06444000689004,368.7807922363281,30198000
2025-04-04,359.90499587925865,370.2436198076782,355.30895597122804,355.6647644042969,49209900
2025-04-07,346.808801297969,366.6953473866903,340.78946619633433,353.7077941894531,50425000
2025-04-08,363.98712785508354,369.3145725706382,346.18608632628985,350.4460754394531,35868900
2025-04-09,349.43791334353114,388.66739600040677,349.00301621371585,385.95916748046875,50199700
2025-04-10,377.627015987976,379.4456631401157,363.5324628545339,376.9252624511719,38024400
2025-04-11,376.2234920445777,385.52428234575257,374.4937970946495,383.94287109375,23839200
2025-04-14,388.6575040815548,390.0709046779098,379.75203666792555,383.3102722167969,19251200
2025-04-15,384.00213704858294,387.342923812398,379.7026039659422,381.25439453125,17199900
2025-04-16,376.25312290658945,377.1821883945702,363.7301188576812,367.2982177734375,21967800
2025-04-17,369.41339637295704,369.9767899290697,362.6330071079686,363.5126647949219,21120200
2025-04-21,358.6102059570081,360.25094859286406,351.543173455908,354.953125,20807300
2025-04-22,359.1637844616611,363.50283254625396,355.68460696363,362.5638732910156,19485000
2025-04-23,371.6965961898571,375.9763723537339,368.69186067990836,370.0459899902344,20545500
2025-04-24,371.3408006891215,383.9428636514652,370.8367085183124,382.8061828613281,22232300
2025-04-25,382.5097039822226,387.6098369882708,380.13755681192964,387.3034362792969,18973200
2025-04-28,387.41210451108003,388.18305301396595,382.1538550582223,386.62139892578125,16579400
2025-04-29,386.75978890275064,390.5157161336794,385.8504804253008,389.468017578125,14974000
2025-04-30,385.77141730238736,392.0576392153778,379.9794241557142,390.67388916015625,36461100
2025-05-01,426.1078502028247,431.91962985286955,419.9699127886788,420.464111328125,58938100
2025-05-02,426.73058824697114,434.34125858777406,425.00089318437847,430.2295227050781,30757400
2025-05-05,427.84743296236513,434.40051033348516,427.0962415401901,431.1091613769531,20136100
2025-05-06,427.18524232094876,432.65107712392626,426.1671945058241,428.2823486328125,15104200
2025-05-07,428.80620435216304,433.0365428333408,426.1078693467033,428.3218994140625,23295300
2025-05-08,432.8487322038109,438.5221520354275,430.60508165893515,433.0859680175781,23491300
2025-05-09,434.89471877509555,435.6261229679929,430.8225275981773,433.63946533203125,15324200
2025-05-12,440.76575596614896,444.1559504013246,434.6772268904453,444.0472412109375,22821900
2025-05-13,442.5844751269483,445.4409573721911,440.19254074927665,443.9287109375,23618800
2025-05-14,442.940276452347,448.6334230518337,442.940276452347,447.6845703125,19902800
2025-05-15,446.3576953837484,451.7246558325709,446.0210270484144,448.6946105957031,21992300
