Date,Open,High,Low,Close,Volume
2025-03-20,57766.66486710964,58840.03195078904,57083.61308658638,58742.453125,34989004
2025-03-21,59425.5060967889,60206.13671875,58937.61195806321,60206.13671875,40155612
2025-03-24,59718.23925619834,60108.55454545454,59035.1875,59035.1875,14088094
2025-03-25,59425.50378213838,59620.661430027176,58059.400246916804,58352.13671875,17259455
2025-03-26,58352.1372404316,59913.3984375,58254.55841561482,59913.3984375,16431645
2025-03-27,59425.509253640776,60498.8764158576,59327.93042071197,60303.71875,20389790
2025-03-28,59582.253802429404,59974.888094372924,58895.14379152824,59091.4609375,16282514
2025-03-31,58404.34800091912,58600.66513705666,56735.65234375,56735.65234375,17633494
2025-04-01,57619.079712744475,58502.506829294216,56833.81116470025,57717.23828125,13841706
2025-04-02,57717.23828125,58306.189692283166,57226.44543872237,57717.23828125,14402297
2025-04-03,55852.22595214844,56735.653076171875,55852.22595214844,56539.3359375,19508076
2025-04-04,55165.11168672014,57128.28292112299,54674.318878119426,55066.953125,23527139
2025-04-07,52318.51403166119,53103.78253495066,52122.19690583881,52220.35546875,31998883
2025-04-08,53987.21049941589,54281.68619304906,52318.514902161216,52514.83203125,25532845
2025-04-09,52318.518683667455,53300.10440005897,51925.88439711085,52024.04296875,20576960
2025-04-10,55557.74681405142,55655.90537732713,53987.20980164007,55361.4296875,22948172
2025-04-11,54576.165534420295,54674.32410552537,53790.89696557971,54183.53125,13930480
2025-04-14,55263.27575900801,55655.91004504004,54772.48290146797,55165.1171875,12852613
2025-04-15,55263.27429328622,56048.54284452296,55165.11572438162,55557.75,8998640
2025-04-16,54968.795703839125,55165.11283135283,53496.417247486286,53692.734375,14437025
2025-04-17,53692.73294294465,54281.68430977767,53496.41582066697,54085.3671875,10867069
2025-04-18,54281.69140625,54576.16712816456,53889.05711036392,54281.69140625,5848342
2025-04-21,54183.53051669675,54968.799074909744,54085.371946920124,54379.84765625,5941847
2025-04-22,53889.056271306814,54478.00770596591,53692.73912642045,53987.21484375,9532469
2025-04-23,54968.79207809695,55066.95063537927,54477.99929168537,54674.31640625,11148692
2025-04-24,54576.15784896769,54772.47496353232,54183.52361983842,54674.31640625,10580377
